,Patient_loc,Responder_loc,duration_Responder,route_Responder,Indirect_Responder_loc,AED_loc,duration_AED,route_indirect_Responder,Vector_loc,duration_Vector,route_Vector,prob_vec,prob_resp,patient_loc,responder_loc,aed_loc,vector_loc
332,,,23.89,,No AED,,10000.0,No AED,,214.7,,0.685905754232162,0.8703878155530445,"(4.708404, 50.873638)","(4.7086701799631685, 50.873885131523714)",No AED,"(4.6998331, 50.8723536)"
333,,,10000.0,,No AED,,10000.0,No AED,,479.2,,0.4310723582549524,0.4310723582549524,"(4.704292, 50.883324)",No responder,No AED,"(4.6658621, 50.8774603)"
334,,,10000.0,,No AED,,10000.0,No AED,,589.55,,0.3551358570616396,0.3551358570616396,"(4.700006, 50.879979)",No responder,No AED,"(4.6658621, 50.8774603)"
335,,,10000.0,,No AED,,10000.0,No AED,,315.63,,0.5745035556347811,0.5745035556347811,"(4.706645, 50.865217)",No responder,No AED,"(4.6998331, 50.8723536)"
336,,,684.71,,No AED,,10000.0,No AED,,698.04,,0.29353328494890024,0.298458714619552,"(4.739747, 50.86005)","(4.741616580467052, 50.86619454922691)",No AED,"(4.7243436, 50.8696549)"
337,,,10000.0,,No AED,,10000.0,No AED,,344.6,,0.5460085950044271,0.5460085950044271,"(4.677563, 50.868836)",No responder,No AED,"(4.6998331, 50.8723536)"
338,,,173.34,,No AED,,10000.0,No AED,,694.13,,0.29555561732169666,0.5662229497606079,"(4.696571, 50.927367)","(4.6980020012680415, 50.92604337097467)",No AED,"(4.6658621, 50.8774603)"
339,,,10000.0,,No AED,,10000.0,No AED,,446.9,,0.45622907379532646,0.45622907379532646,"(4.69757, 50.880019)",No responder,No AED,"(4.6658621, 50.8774603)"
340,,,33.54,,"(4.707562307246641, 50.8713997246525)",,,,,281.19,,0.6103198856075869,,"(4.712916, 50.869559)","(4.713379614359645, 50.86935518534531)","(4.7116128, 50.867677)","(4.6998331, 50.8723536)"
341,,,149.77,,No AED,,10000.0,No AED,,354.64,,0.5364666463113456,0.6928093879258654,"(4.69228, 50.881642)","(4.690225200278989, 50.880810451959256)",No AED,"(4.6658621, 50.8774603)"
342,,,128.93,,No AED,,10000.0,No AED,,291.01,,0.5998857485229686,0.7344137915209311,"(4.688307, 50.878685)","(4.68840348193703, 50.87972645337575)",No AED,"(4.6731993, 50.8780791)"
343,,,10000.0,,No AED,,10000.0,No AED,,203.32,,0.699750338115144,0.699750338115144,"(4.700306, 50.877595)",No responder,No AED,"(4.6998331, 50.8723536)"
344,,,10000.0,,No AED,,10000.0,No AED,,365.47,,0.5263607520334049,0.5263607520334049,"(4.69781, 50.882869)",No responder,No AED,"(4.6658621, 50.8774603)"
345,,,26.6,,No AED,,10000.0,No AED,,276.77,,0.6150753498227405,0.8405410442289288,"(4.687722, 50.879707)","(4.687713080158227, 50.87961546145428)",No AED,"(4.6731993, 50.8780791)"
346,,,440.89,,No AED,,10000.0,No AED,,219.4,,0.6802681055912759,0.6802681055912759,"(4.696876, 50.893705)","(4.699889773159668, 50.89773548464109)",No AED,"(4.6658621, 50.8774603)"
347,,,185.2,,No AED,,10000.0,No AED,,410.79,,0.4860952092550535,0.6442075415732661,"(4.691055, 50.859864)","(4.69345999475558, 50.85881685272172)",No AED,"(4.6998331, 50.8723536)"
348,,,43.06,,No AED,,10000.0,No AED,,338.05,,0.5523249627417635,0.798223677117105,"(4.693386, 50.877427)","(4.69263935635534, 50.877294336995355)",No AED,"(4.6998331, 50.8723536)"
349,,,44.28,,"(4.6885147426143154, 50.8696751948708)",,,,,131.89,,0.793263386220171,,"(4.696955, 50.868763)","(4.697032428589584, 50.86836812923358)","(4.692543, 50.86957)","(4.6998331, 50.8723536)"
350,,,10000.0,,No AED,,10000.0,No AED,,483.22,,0.42804006715395515,0.42804006715395515,"(4.703092, 50.8858)",No responder,No AED,"(4.6658621, 50.8774603)"
351,,,95.69,,No AED,,10000.0,No AED,,69.71,,0.884784329539418,0.884784329539418,"(4.674966, 50.878795)","(4.675797507798415, 50.87842116984381)",No AED,"(4.6731993, 50.8780791)"
352,,,10000.0,,No AED,,10000.0,No AED,,429.59,,0.4703097625920373,0.4703097625920373,"(4.71181, 50.882129)",No responder,No AED,"(4.6658621, 50.8774603)"
353,,,169.07,,No AED,,10000.0,No AED,,318.39,,0.571725912531821,0.6888779341870929,"(4.692671, 50.885126)","(4.694840652117481, 50.8843756031938)",No AED,"(4.6658621, 50.8774603)"
354,,,501.44,,No AED,,10000.0,No AED,,27.28,,0.9532253738593609,0.9532253738593609,"(4.675065, 50.877189)","(4.672369995340029, 50.877250450612536)",No AED,"(4.6731993, 50.8780791)"
355,,,10000.0,,No AED,,10000.0,No AED,,525.51,,0.39740471814971173,0.39740471814971173,"(4.727105, 50.881841)",No responder,No AED,"(4.7243436, 50.8696549)"
356,,,10000.0,,No AED,,10000.0,No AED,,415.11,,0.48242166313621115,0.48242166313621115,"(4.705585, 50.878474)",No responder,No AED,"(4.6998331, 50.8723536)"
357,,,169.99,,"(4.740374525558509, 50.862665589059645)",,,,,452.13,,0.45205828165862666,,"(4.737322, 50.867381)","(4.734847162187022, 50.866836717734785)","(4.7433965, 50.8674498)","(4.7243436, 50.8696549)"
358,,,82.76,,No AED,,10000.0,No AED,,402.76,,0.4929980691694512,0.7350796797299571,"(4.71672, 50.915025)","(4.717599395806367, 50.915931813134165)",No AED,"(4.6658621, 50.8774603)"
359,,,144.79,,No AED,,10000.0,No AED,,624.63,,0.33391939473630367,0.6078391914822637,"(4.691766, 50.926369)","(4.692561913217972, 50.92463771272076)",No AED,"(4.6658621, 50.8774603)"
