id,type,address,number,postal_code,municipality,province,location,public,available,hours,complete_address,latitude,longitude
12800.0,Fixed Device,Vaartstraat,9,3000.0,Leuven,Vlaams-Brabant,Bistro Tribunal - aan vestiaire,N,Non-Nee,,"9 Vaartstraat, Leuven, Vlaams-Brabant, Belgium",50.8808505,4.7020005
12821.0,Fixed Device,Ambachtenlaan,,3001.0,Heverlee,Vlaams-Brabant,Delletrans - onthaalruimte,N,Non-Nee,,"Ambachtenlaan, Heverlee, Vlaams-Brabant, Belgium",50.848691,4.7182558
12929.0,Fixed Device,Vaartstraat,131,3000.0,Leuven,Vlaams-Brabant,"Cypres - gelijkvloers, doorgang naar apartement",N,Non-Nee,,"131 Vaartstraat, Leuven, Vlaams-Brabant, Belgium",50.8851678,4.7007067
12956.0,Fixed Device,Interleuvenlaan,86,3001.0,Heverlee,Vlaams-Brabant,in de inkomhal aan de voordeur,Y,enkel tijdens de kantooruren (8 - 19u),,"86 Interleuvenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8514371,4.7283621
13571.0,Fixed Device,Pastoor Bellonstraat,29,3018.0,Wijgmaal,Vlaams-Brabant,Buiten - tussen kantine en kleedkamers,Y,Non-Nee,in functie van de openingsuren van het sportcomplex - Stad Leuven,"29 Pastoor Bellonstraat, Wijgmaal, Vlaams-Brabant, Belgium",50.92585949999999,4.7063333
13710.0,Fixed Device,Kardinaal Mercierlaan ,46,3001.0,Heverlee,Vlaams-Brabant,Accueil,Y,Non-Nee,,"46 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium",50.868071,4.6939597
13711.0,Fixed Device,Kardinaal Mercierlaan,46,3001.0,Heverlee,Vlaams-Brabant,Accueil,Y,Non-Nee,,"46 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium",50.868071,4.6939597
13712.0,Fixed Device,Kardinaal Mercierlaan,46,3001.0,Heverlee,Vlaams-Brabant,Accueil,Y,Non-Nee,,"46 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium",50.868071,4.6939597
13900.0,Fixed Device,Geldenaaksebaan,327,3001.0,Leuven,Vlaams-Brabant,Inkomhal/balie,Y,Non-Nee,"Ma tot vrij van 8u30 tot 21u30, za en zon gesloten. Vakanties gesloten","327 Geldenaaksebaan, Leuven, Vlaams-Brabant, Belgium",50.8495093,4.724752100000001
13910.0,Fixed Device,Tiensestraat ,,3010.0,Leuven,Vlaams-Brabant,Inkomhal hoofdgebouw,N,Non-Nee,,"Tiensestraat, Leuven, Vlaams-Brabant, Belgium",50.8758104,4.7080615
13944.0,Fixed Device,"Gebouw 1026, Haasrode Reseach Park, Technologielaan",11,3001.0,Leuven,Vlaams-Brabant,"Voorzijde gebouw, verdieping 2, naast de lift",N,Non-Nee,"Maandag t.e.m. vrijdag, 9u00 tot 18u00","11 Gebouw 1026, Haasrode Reseach Park, Technologielaan, Leuven, Vlaams-Brabant, Belgium",50.8502816,4.727723999999999
14142.0,Fixed Device,Jan Vandeveldelaan,15,3010.0,Leuven,Vlaams-Brabant,in de sterilisatieruimte naast de balie,Y,Non-Nee,tijdens openingsuren: 09-17u,"15 Jan Vandeveldelaan, Leuven, Vlaams-Brabant, Belgium",50.8742581,4.725275
14162.0,Fixed Device,Blijde Inkomststraat ,21,3000.0,Leuven,Vlaams-Brabant,Inkom,N,Non-Nee,,"21 Blijde Inkomststraat, Leuven, Vlaams-Brabant, Belgium",50.877337,4.709544699999999
14297.0,Fixed Device,Groeneweg ,151,3001.0,Heverlee,Vlaams-Brabant,"Hogeschool UCLL, Campus Sociale School - inkom Blok-A",Y,Non-Nee,,"151 Groeneweg, Heverlee, Vlaams-Brabant, Belgium",50.8758335,4.6611883
14536.0,Fixed Device,Evenementenlaan,7,3001.0,Heverlee,Vlaams-Brabant,Receptie,Y,Non-Nee,Maandag tot vrijdag van 8 tot 17uur,"7 Evenementenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8557424,4.731698199999999
14825.0,Fixed Device,Smoldersplein,5,3000.0,Leuven,Vlaams-Brabant,.,Y,Non-Nee,,"5 Smoldersplein, Leuven, Vlaams-Brabant, Belgium",50.8804127,4.7019874
15011.0,Fixed Device,Ambachtenlaan,12,3001.0,Heverlee,Vlaams-Brabant,"Doorgang tussen burelen en magazijn, langs de kant van het magazijn naast de wc s.",Y,Non-Nee,08u30-17u00 (vrijdag tot 15u00),"12 Ambachtenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8510697,4.7183111
15211.0,Fixed Device,Interleuvenlaan ,,3001.0,Leuven,Vlaams-Brabant,EHBO lokaal (gelijkvloers),N,Non-Nee,Zondag 22:00u tem Vrijdag 22:00,"Interleuvenlaan, Leuven, Vlaams-Brabant, Belgium",50.8507187,4.7303674
